phrase,category
A Piece of Cake,Common Phrases
The Great Gatsby,Book Titles
To Be or Not To Be,Famous Quotes
Python Programming,Technology
A Stitch in Time Saves Nine,Proverbs
The Road Not Taken,Poetry
I Have a Dream,Famous Quotes
To Kill a Mockingbird,Book Titles
In the Blink of an Eye,Common Phrases
Once in a Blue Moon,Common Phrases
All That Glitters is Not Gold,Proverbs
The Sun Also Rises,Book Titles
Goodnight Moon,Children's Books
Be the Change,Famous Quotes
The Old Man and the Sea,Book Titles
Waking Up to Reality,Common Phrases
Life is What Happens,Famous Quotes
A Penny for Your Thoughts,Proverbs
It's Not Rocket Science,Common Phrases
Cry Me a River,Song Titles
Bohemian Rhapsody,Song Titles
The Lion King,Movies
Matrix Reloaded,Movies
Sherlock Holmes,Literary Characters
Harry Potter,Book Titles
Game of Thrones,TV Shows
Breaking Bad,TV Shows
Friends,TV Shows
The Office,TV Shows
The Godfather,Movies
Gone with the Wind,Movies
Avengers: Endgame,Movies
Pulp Fiction,Movies
A Beautiful Mind,Movies
The Shawshank Redemption,Movies
The Dark Knight,Movies
The Simpsons,TV Shows
The Big Bang Theory,TV Shows
Family Guy,TV Shows
Black Panther,Comic Book Characters
Green Lantern,Comic Book Characters
Harley Quinn,Comic Book Characters
Justice League,Comic Book Teams
Fantastic Four,Comic Book Teams
Justice League of America,Comic Book Teams
Captain Marvel,Comic Book Characters
Silver Surfer,Comic Book Characters
Wonder Woman,Comic Book Characters
Green Arrow,Comic Book Characters
Flash Gordon,Sci-Fi Movies
Star Wars,Movies
Star Trek, TV Shows
Doctor Who, TV Shows
The Matrix, Movies
Blade Runner, Movies
Jurassic Park, Movies
Pirates of the Caribbean, Movies
Indiana Jones, Movies
The Hobbit, Book Titles
The Lord of the Rings, Book Titles
Les Miserables, Book Titles
The Chronicles of Narnia, Book Titles
The Da Vinci Code, Book Titles
Fifty Shades of Grey, Book Titles
The Hunger Games, Book Titles
The Maze Runner, Book Titles
Percy Jackson, Book Titles
The Handmaid's Tale, Book Titles
The Picture of Dorian Gray, Book Titles
The Outsiders, Book Titles
A Tale of Two Cities, Book Titles
Pride and Prejudice, Book Titles
Wuthering Heights, Book Titles
The Great Wall, Movies
The Secret Life of Walter Mitty, Movies
The Prestige, Movies
The Revenant, Movies
The Social Network, Movies
Beauty is in the Eye of the Beholder, Proverbs
A Bird in the Hand is Worth Two in the Bush, Proverbs
The Early Bird Catches the Worm, Proverbs
Actions Speak Louder Than Words, Proverbs
A Rolling Stone Gathers No Moss, Proverbs
Absence Makes the Heart Grow Fonder, Proverbs
Better Late Than Never, Proverbs
Don't Count Your Chickens Before They Hatch, Proverbs
Don't Cry Over Spilled Milk, Proverbs
An Apple a Day Keeps the Doctor Away, Proverbs
When in Rome, Do as the Romans Do, Proverbs
The Pen is Mightier Than the Sword, Famous Quotes
I Think, Therefore I Am, Famous Quotes
Speak Softly and Carry a Big Stick, Famous Quotes
Not All Those Who Wander Are Lost, Famous Quotes
That's What She Said, Common Phrases
Every Cloud Has a Silver Lining, Proverbs
You Can't Have Your Cake and Eat It Too, Proverbs
The Best Things in Life Are Free, Common Phrases
Don't Let the Bedbugs Bite, Common Phrases
You Snooze, You Lose, Common Phrases
What Goes Around Comes Around, Common Phrases
It's Always Darkest Before the Dawn, Proverbs
The Grass is Greener on the Other Side, Common Phrases
Bite the Bullet, Common Phrases
Hit the Nail on the Head, Common Phrases
Burn the Midnight Oil, Common Phrases
The Grass is Always Greener, Common Phrases
Let the Cat Out of the Bag, Common Phrases
It Takes Two to Tango, Common Phrases
Easy as Pie, Common Phrases
Curiosity Killed the Cat, Proverbs
You Can't Judge a Book by Its Cover, Proverbs
A Leopard Can't Change Its Spots, Proverbs
Blood is Thicker Than Water, Proverbs
Fool Me Once, Shame on You, Famous Quotes
Fool Me Twice, Shame on Me, Famous Quotes
An Eye for an Eye, Proverbs
Cleanliness is Next to Godliness, Proverbs
The Customer is Always Right, Business Slogans
Think Outside the Box, Business Slogans
Just Do It, Business Slogans
Have It Your Way, Business Slogans
Melts in Your Mouth, Not in Your Hands, Advertising Slogans
Taste the Rainbow, Advertising Slogans
Because You're Worth It, Advertising Slogans
Red Bull Gives You Wings, Advertising Slogans
Impossible is Nothing, Advertising Slogans
The King of Beers, Advertising Slogans
Open Happiness, Advertising Slogans
Life's Good, Advertising Slogans
Have a Break, Have a Kit-Kat, Advertising Slogans
Just for the Taste of It, Advertising Slogans
Wheaties, the Breakfast of Champions, Advertising Slogans
Don’t Leave Home Without It, Advertising Slogans
Think Different, Advertising Slogans
Where’s the Beef?, Advertising Slogans
The Ultimate Driving Machine, Advertising Slogans
The Freshmaker, Advertising Slogans
A Diamond is Forever, Advertising Slogans
Taste the Feeling, Advertising Slogans
You Deserve a Break Today, Advertising Slogans
When It Rains, It Pours, Common Phrases
All Roads Lead to Rome, Common Phrases
To the Moon and Back, Common Phrases
Out of Sight, Out of Mind, Common Phrases
Better Safe Than Sorry, Proverbs
A Problem Shared is a Problem Halved, Proverbs
Time Heals All Wounds, Proverbs
Too Many Cooks Spoil the Broth, Proverbs
Every Dog Has Its Day, Proverbs
A Friend in Need is a Friend Indeed, Proverbs
Actions Have Consequences, Proverbs
The Truth Will Set You Free, Famous Quotes
Don't Sweat the Small Stuff, Famous Quotes
Life is Like a Box of Chocolates, Famous Quotes
May the Force Be With You, Famous Quotes
Live Long and Prosper, Famous Quotes
Here's Looking at You, Kid, Famous Quotes
I’ll Be Back, Famous Quotes
Do or Do Not, There is No Try, Famous Quotes
That’s a Wrap, Movie Phrases
The End of the Line, Movie Phrases
The Ball is in Your Court, Common Phrases
Actions Speak Louder Than Words, Common Phrases
Don't Rock the Boat, Common Phrases
Break the Ice, Common Phrases
The Sky's the Limit, Common Phrases
The Tip of the Iceberg, Common Phrases
A Stitch in Time Saves Nine, Proverbs
Burning the Candle at Both Ends, Common Phrases
Every Little Bit Helps, Common Phrases
A Picture is Worth a Thousand Words, Proverbs
Rome Wasn't Built in a Day, Proverbs
Don't Bite the Hand That Feeds You, Proverbs
Barking Up the Wrong Tree, Proverbs
The Apple Doesn’t Fall Far From the Tree, Proverbs
A Penny Saved is a Penny Earned, Proverbs
Actions Have Consequences, Proverbs
You Reap What You Sow, Proverbs
Laughter is the Best Medicine, Proverbs
Blood is Thicker Than Water, Proverbs
A Bird in the Hand is Worth Two in the Bush, Proverbs
Curiosity Killed the Cat, Proverbs
If It Ain't Broke, Don't Fix It, Proverbs
The Early Bird Catches the Worm, Proverbs
Out of the Frying Pan and Into the Fire, Proverbs
All That Glitters is Not Gold, Proverbs
An Eye for an Eye, Proverbs
Don't Put All Your Eggs in One Basket, Proverbs
Too Many Cooks Spoil the Broth, Proverbs
The Pen is Mightier Than the Sword, Famous Quotes
I Think, Therefore I Am, Famous Quotes
Not All Those Who Wander Are Lost, Famous Quotes
Do unto Others as You Would Have Them Do unto You, Famous Quotes
The Only Thing We Have to Fear is Fear Itself, Famous Quotes
Live Long and Prosper, Famous Quotes
May the Force Be With You, Famous Quotes
That’s What She Said, Common Phrases
Live and Let Live, Famous Quotes
Make Love, Not War, Famous Quotes
The Truth Will Set You Free, Famous Quotes
You Can't Handle the Truth, Famous Quotes
Go Big or Go Home, Common Phrases
What Goes Around Comes Around, Common Phrases
That’s the Way the Cookie Crumbles, Common Phrases
Bite the Bullet, Common Phrases
Hit the Nail on the Head, Common Phrases
Burn the Midnight Oil, Common Phrases
Let the Cat Out of the Bag, Common Phrases
Every Cloud Has a Silver Lining, Proverbs
Don't Count Your Chickens Before They Hatch, Proverbs
You Can't Have Your Cake and Eat It Too, Proverbs
The Grass is Greener on the Other Side, Common Phrases
Actions Speak Louder Than Words, Common Phrases
Absence Makes the Heart Grow Fonder, Proverbs
Time Heals All Wounds, Proverbs
The Customer is Always Right, Business Slogans
Think Outside the Box, Business Slogans
Just Do It, Business Slogans
Have It Your Way, Business Slogans
Melts in Your Mouth, Not in Your Hands, Advertising Slogans
Taste the Rainbow, Advertising Slogans
Because You're Worth It, Advertising Slogans
Red Bull Gives You Wings, Advertising Slogans
Got Milk?, Advertising Slogans
Impossible is Nothing, Advertising Slogans
The King of Beers, Advertising Slogans
Open Happiness, Advertising Slogans
Life's Good, Advertising Slogans
Just for the Taste of It, Advertising Slogans
Wheaties, the Breakfast of Champions, Advertising Slogans
Don't Leave Home Without It, Advertising Slogans
Think Different, Advertising Slogans
Where’s the Beef?, Advertising Slogans
The Ultimate Driving Machine, Advertising Slogans
The Freshmaker, Advertising Slogans
A Diamond is Forever, Advertising Slogans
Taste the Feeling, Advertising Slogans
You Deserve a Break Today, Advertising Slogans
When It Rains, It Pours, Common Phrases
All Roads Lead to Rome, Common Phrases
To the Moon and Back, Common Phrases
Out of Sight, Out of Mind, Common Phrases
Better Safe Than Sorry, Proverbs
A Problem Shared is a Problem Halved, Proverbs
Every Dog Has Its Day, Proverbs
A Friend in Need is a Friend Indeed, Proverbs
The Truth Will Set You Free, Famous Quotes
Don't Sweat the Small Stuff, Famous Quotes
Life is Like a Box of Chocolates, Famous Quotes
May the Force Be With You, Famous Quotes
Live Long and Prosper, Famous Quotes
Here's Looking at You, Kid, Famous Quotes
I’ll Be Back, Famous Quotes
Do or Do Not, There is No Try, Famous Quotes
The Ball is in Your Court, Common Phrases
Actions Speak Louder Than Words, Common Phrases
Don't Rock the Boat, Common Phrases
Break the Ice, Common Phrases
The Sky's the Limit, Common Phrases
The Tip of the Iceberg, Common Phrases
A Stitch in Time Saves Nine, Proverbs
Burning the Candle at Both Ends, Common Phrases
Every Little Bit Helps, Common Phrases
